year, rcp45_weighted_mean, rcp45_min, rcp45_max, rcp85_weighted_mean, rcp85_min, rcp85_max
2005, 74.1,71.4,77.8,74.1,71.4,77.8
2006, 74.7,70.6,77.5,74.3,72.3,77.2
2007, 74.4,71.4,77.2,74.6,72.1,76.8
2008, 74.6,71.9,77.9,74.3,70.5,76.9
2009, 74.6,72.5,76.6,74.5,71.9,76.4
2010, 74.5,71.9,77,74.3,71.6,77.4
2011, 75,72.3,77.8,75,72.2,78.3
2012, 75.3,72.9,77.7,75,72.3,78.7
2013, 74.6,71.6,77.4,74.6,71.6,77
2014, 74.5,71.8,76.7,74.6,70.9,78.1
2015, 74.9,72.6,78.5,75.1,72.2,78.8
2016, 74.8,72.1,77.6,74.8,72.7,77.1
2017, 75.1,72.4,78.6,75.2,72.8,78.2
2018, 75,71.9,77.8,75.5,72.1,78.3
2019, 75.5,73.1,77.7,75.1,72.7,78.4
2020, 75.3,72.2,79.4,75.9,73,78
2021, 75.3,71.2,78.2,75.1,72.7,79.6
2022, 75.5,73.1,78.8,75.7,73.2,78.8
2023, 75.2,72.6,79,75.5,73.1,79.2
2024, 75.6,72.8,78.8,75.7,72.8,78.5
2025, 75,72.1,78,75.9,73.5,78
2026, 75.9,72.2,79.1,75.5,73.4,78.2
2027, 75.4,72.5,78.4,75.3,71.9,78.2
2028, 75.3,72.7,77.9,76.1,73.7,80.8
2029, 75.8,74.3,79,75.9,73.5,79.2
2030, 75.7,73.2,78.6,76.1,73.3,79.4
2031, 75.7,73.3,78.3,76.3,73.6,79.3
2032, 76,73.3,78.8,76,73.5,79.8
2033, 76,72.3,79.3,76.3,72.9,79.2
2034, 76.3,72.6,78.8,76.4,73.8,80.6
2035, 76.2,73,78.7,77,74,79.6
2036, 76.2,73.3,78.3,76.4,73.5,80.2
2037, 76.2,73,80,77.2,74.9,79.2
2038, 76.3,73.5,79.1,76.7,73.7,79.9
2039, 76.5,73.5,79.5,76.8,74.6,79
2040, 76.2,73.5,79.2,77.1,75.4,81.6
2041, 76.9,73.7,80,77,74,79.6
2042, 76.9,74.5,80.1,77.5,74.4,80.2
2043, 76.9,73.7,79.6,77,73.8,80.3
2044, 76.3,73.3,79.5,76.9,72.9,79.7
2045, 77.1,74.3,81.6,77.7,74.9,81.5
2046, 77.1,73.9,80.6,77.7,75.1,80.7
2047, 77,73.6,79.7,77.6,75.3,79.8
2048, 76.9,73.8,79.9,77.7,75.3,80.1
2049, 76.8,74.1,79.2,78.2,74.8,81.5
2050, 77.1,72.9,80.4,78,75,81.4
2051, 77.3,74.8,79.9,78.2,75.7,81.6
2052, 77.4,74.6,81,78.2,74.8,83.2
2053, 77.2,74.4,79.9,78.5,74.8,80.9
2054, 77.5,73.2,81.3,78.5,75.6,81.5
2055, 77.4,74.7,80.4,78.5,75.1,80.7
2056, 77.4,73,81.2,78.5,75.1,81.2
2057, 77.5,74.6,80.8,78.5,73.8,82
2058, 77.9,75.1,82.2,78.7,76,82.2
2059, 78.1,74.9,81.3,78.8,76.6,83
2060, 77.2,73.6,80.6,78.9,75.6,82.3
2061, 77.5,73.8,82.5,79,75.4,82
2062, 77.8,74.3,81.7,79.4,76.7,82.7
2063, 77.6,74.9,80.3,79.1,75.9,82.7
2064, 77.3,73.6,81.8,79.6,75.2,83.5
2065, 77.9,74.9,81.5,79.6,76.8,82.8
2066, 77.9,74.2,80.6,79.4,76.1,82.4
2067, 77.6,73,80.5,79.7,76.9,83.1
2068, 77.6,73.6,80.8,79.6,76.3,82.7
2069, 78,73.9,80.7,80.1,76.1,85.7
2070, 77.5,74.6,80.2,80,76.1,84.4
2071, 78,75.1,81.2,79.8,76.5,83.5
2072, 78.3,72.4,81.5,80.2,76.7,84.7
2073, 77.7,75.1,80.8,80.2,77.3,83.3
2074, 77.9,75.1,82.1,80.2,76.4,83.7
2075, 78.4,75.2,82.7,80.4,75.5,85.3
2076, 78.4,75.1,81.8,80.5,75.5,85
2077, 77.8,75.4,80.6,80.6,76.4,84.2
2078, 78.1,74.3,81.5,81.1,77.3,86
2079, 78.1,74.2,82.4,80.8,77.8,85.1
2080, 77.8,74.3,80.9,80.4,76.8,84.5
2081, 78.1,74.8,81.6,80.9,77.6,85.2
2082, 78.1,74.7,81.9,81.3,77.3,86.1
2083, 78.2,75.2,82.3,81.2,77.2,85.6
2084, 78,74.6,82.7,81.5,77,85.1
2085, 78.4,76,81.7,81.3,78.1,84.8
2086, 78.4,74.8,81.1,81.3,77.6,84.8
2087, 78.4,74.8,82.1,81.4,78.6,86.7
2088, 78.3,74.6,82.5,81.6,77.6,85.9
2089, 78.2,74.8,82.9,82,79.1,86.4
2090, 77.9,74.7,80.6,82.3,78.9,88.4
2091, 78.5,74.7,81.2,81.7,78.4,84.8
2092, 78.6,75.4,81.9,82,78.6,88.8
2093, 78.4,75.3,81.1,81.9,78.7,85.1
2094, 78.7,74.8,81.8,82.8,78.8,87.3
2095, 78.5,74.3,83.9,82,78.4,85.7
2096, 78.1,74.9,81,82.8,79.1,87.8
2097, 78.8,75.4,83.6,82.4,78.9,88
2098, 78.2,73.8,82.3,82.8,79.2,87.1
2099, 78.4,74.7,81.7,82.7,79.4,87.8